index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,year
147,Black Rock,6/56 Red Bluff St,2,u,879000,S,Hodges,6/17/2017,17.3,3193,2,1,1,0,88,1970,Bayside,-37.96341,145.01735,Southern Metropolitan,2866,,2017
148,Strathmore,7 Brisbane St,3,h,810000,S,Considine,9/23/2017,8.2,3041,3,1,3,492,134,1970,,-37.73084,144.92238,Western Metropolitan,3284,,2017
149,Sunshine,3 Donald St,3,h,816000,S,Douglas,10/15/2016,12.6,3020,3,1,1,511,113,1958,Brimbank,-37.7906,144.8387,Western Metropolitan,3755,,2016
150,Ascot Vale,2/21 Harold St,2,u,490000,VB,Jellis,3/4/2017,5.9,3032,2,1,1,423,62,1970,Moonee Valley,-37.7736,144.9015,Western Metropolitan,6567,,2017
151,West Footscray,8/132 Rupert St,1,u,185000,PI,Jas,4/29/2017,8.2,3012,1,1,1,0,126,1970,Maribyrnong,-37.798,144.8672,Western Metropolitan,5058,,2017
152,Richmond,6 Berry St,2,h,900000,PI,hockingstuart,12/10/2016,2.6,3121,2,1,0,95,63,1900,Yarra,-37.8193,144.9976,Northern Metropolitan,14949,,2016
153,Brighton East,67 Centre Rd,2,h,1445000,S,Biggin,3/4/2017,10.7,3187,2,1,1,649,126,1940,Bayside,-37.9153,145.0142,Southern Metropolitan,6938,,2017
154,Springvale South,5 Gwent St,3,h,700000,PI,iSell,7/22/2017,22.2,3172,3,1,2,638,105,1980,Greater Dandenong,-37.98031,145.15497,South-Eastern Metropolitan,4054,,2017
155,Richmond,6/323 Church St,3,t,1052000,S,Jellis,5/20/2017,2.6,3121,3,1,2,0,100,2010,Yarra,-37.8221,144.9988,Northern Metropolitan,14949,,2017
156,Brunswick East,41 Barkly St,3,h,1679000,S,Nelson,11/19/2016,4.5,3057,3,2,0,326,118,1920,Moreland,-37.7776,144.9751,Northern Metropolitan,5533,,2016
157,Reservoir,1 Don St,4,h,1112000,S,RW,8/26/2017,12,3073,4,2,10,1002,170,1985,,-37.70671,145.03086,Northern Metropolitan,21650,,2017
158,Caulfield South,3/21 Gardenvale Rd,2,u,500000,VB,Ray,8/28/2016,9.3,3162,2,1,1,90,126,1970,Glen Eira,-37.8996,145.0169,Southern Metropolitan,5051,,2016
159,Reservoir,20 McMahon Rd,4,h,930000,S,Love,6/17/2017,12,3073,4,1,5,700,126,1970,Darebin,-37.7115,145.02413,Northern Metropolitan,21650,,2017
160,Werribee,15 Retreat Pl,4,h,645000,S,YPA,7/1/2017,14.7,3030,4,2,2,702,126,1970,Wyndham,-37.8967,144.65264,Western Metropolitan,16166,,2017
161,Brunswick East,18 Lowan St,4,h,1290000,S,Jellis,3/11/2017,4.5,3057,4,2,2,468,126,1970,Moreland,-37.7724,144.9829,Northern Metropolitan,5533,,2017
162,Mill Park,4 Carlita Cl,4,h,732000,S,Harcourts,6/3/2017,17.9,3082,3,2,1,808,184,1980,Whittlesea,-37.67348,145.06982,Northern Metropolitan,10529,,2017
163,Hawthorn,13/175 Power St,2,u,575000,S,Nelson,3/4/2017,4.6,3122,2,1,1,0,126,1970,Boroondara,-37.8263,145.0257,Southern Metropolitan,11308,,2017
164,Brunswick,113 Glenlyon Rd,4,h,1320000,S,Nelson,10/15/2016,5.2,3056,4,2,1,281,156,1920,Moreland,-37.7722,144.9681,Northern Metropolitan,11918,,2016
165,Braybrook,1 Moama St,3,h,765000,S,GL,2/25/2017,10.8,3019,3,1,1,658,105,1960,Maribyrnong,-37.7905,144.8485,Western Metropolitan,3589,,2017
166,Templestowe Lower,20 Oak Cr,4,h,1320000,PI,Jellis,7/22/2017,12.4,3107,4,2,2,774,126,1970,Manningham,-37.76941,145.12123,Eastern Metropolitan,5420,,2017
167,Toorak,3 Mell St,5,h,2170000,S,Matthew,9/17/2016,4.6,3142,3,1,0,333,126,1970,Stonnington,-37.8474,145.0063,Southern Metropolitan,7217,,2016
168,Glenroy,29 Glenroy Rd,3,h,820000,S,Melbourne,4/22/2017,13,3046,3,1,1,697,126,1960,Moreland,-37.7073,144.9355,Northern Metropolitan,8870,,2017
169,Bentleigh East,4 Mawby Rd,4,h,1433500,S,Hodges,2/25/2017,13.9,3165,4,1,1,725,186,1950,Glen Eira,-37.9289,145.0502,Southern Metropolitan,10969,,2017
170,Balwyn North,24 Willis St,3,h,1770000,PI,Fletchers,8/28/2016,9.2,3104,3,2,1,720,147,1955,Boroondara,-37.7938,145.0838,Southern Metropolitan,7809,,2016
171,Wantirna South,53 Somes St,3,h,1015000,SP,Ray,7/1/2017,14.7,3152,3,2,2,550,126,1970,Knox,-37.88695,145.21891,Eastern Metropolitan,7082,,2017
172,Toorak,4 Matthews Ct,3,h,2820000,PI,Kay,12/10/2016,4.6,3142,3,2,2,600,205,1967,Stonnington,-37.8332,145.0117,Southern Metropolitan,7217,,2016
173,Clifton Hill,48 Council St,3,h,1150000,VB,Nelson,7/26/2016,3.4,3068,3,1,1,169,126,1970,Yarra,-37.7925,144.9877,Northern Metropolitan,2954,,2016
174,Noble Park,38 Dunblane Rd,3,h,695000,S,Barry,7/29/2017,22.7,3174,3,1,1,671,142,1950,Greater Dandenong,-37.962,145.18035,South-Eastern Metropolitan,11806,,2017
175,Reservoir,7 Loddon Av,3,h,935000,S,Ray,9/16/2017,12,3073,3,1,2,768,126,1970,,-37.7234,145.0266,Northern Metropolitan,21650,,2017
176,Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,3/4/2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,,2017
177,Maribyrnong,7/13 Navigator St,2,h,335000,S,hockingstuart,9/17/2016,8.7,3032,2,1,1,0,99,1970,Maribyrnong,-37.7681,144.8979,Western Metropolitan,4918,,2016
178,Kingsville,153 Coronation St,3,h,967500,S,Jas,3/18/2017,7.8,3012,3,1,1,325,126,1970,Maribyrnong,-37.812,144.8804,Western Metropolitan,1808,,2017
179,Niddrie,1/15 Ross St,3,u,760000,S,Barry,6/18/2016,11.2,3042,3,2,1,198,126,2008,Moonee Valley,-37.7357,144.8908,Western Metropolitan,2291,,2016
180,Gowanbrae,18 Primula Bvd,4,h,800000,S,Nelson,7/26/2016,13.6,3043,4,2,2,719,251,2000,Moreland,-37.7062,144.8978,Western Metropolitan,1071,,2016
181,Maribyrnong,6 Ibis Pl,4,h,1230000,SP,Biggin,8/28/2016,8.7,3032,3,3,2,270,215,2009,Maribyrnong,-37.7847,144.8962,Western Metropolitan,4918,,2016
182,Elsternwick,8 Prentice St,3,h,2105000,S,Biggin,8/19/2017,7.2,3185,3,2,1,346,180,1890,,-37.88319,145.01142,Southern Metropolitan,4898,,2017
183,Fawkner,15 Dorothy St,3,h,680000,SP,Purplebricks,9/16/2017,13.1,3060,3,2,2,588,126,1970,,-37.69403,144.96674,Northern Metropolitan,5070,,2017
184,Ashwood,3/5 Yunki Ct,2,t,770000,SP,Buxton,4/8/2017,12.2,3147,2,1,2,162,126,2010,Monash,-37.871,145.0994,Southern Metropolitan,2894,,2017
185,Thornbury,279 Mansfield St,2,h,900000,S,Nelson,8/22/2016,6.5,3071,2,1,1,497,126,1970,Darebin,-37.7585,145.0226,Northern Metropolitan,8870,,2016
186,Moorabbin,38 Grandview Gr,2,h,950000,SP,Buxton,6/4/2016,14.6,3189,2,1,3,649,75,1950,Kingston,-37.9424,145.0464,Southern Metropolitan,2555,,2016
187,Hampton,41 Orlando St,4,h,2160000,S,hockingstuart,5/28/2016,13.7,3188,4,2,1,577,231,1940,Bayside,-37.9382,144.9997,Southern Metropolitan,5454,,2016
188,Caroline Springs,5/1 Dargi Grn,3,t,360000,SA,O'Brien,7/8/2017,14.8,3023,3,1,1,0,136.49,2009,Melton,-37.70624,144.74042,Western Metropolitan,7719,,2017
189,Hawthorn East,6/36 Auburn Gr,2,u,500000,SP,Marshall,4/8/2017,7.5,3123,2,1,1,710,126,1970,Boroondara,-37.8259,145.0483,Southern Metropolitan,6482,,2017
190,South Melbourne,248 Montague St,3,h,1650000,VB,Marshall,9/17/2016,2.1,3205,3,2,0,204,195,1890,Port Phillip,-37.8357,144.9531,Southern Metropolitan,5943,,2016
191,Melbourne,805/300 Swanston St,2,u,665000,S,Purplebricks,11/7/2016,2.8,3000,2,1,1,0,80,2004,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496,,2016
192,Albert Park,2 Boyd St,2,h,2905000,S,RT,6/3/2017,3,3206,2,1,1,254,126,1970,Port Phillip,-37.84583,144.95658,Southern Metropolitan,3280,,2017
193,Fawkner,12 Brockley Rd,3,h,532000,S,Nelson,6/27/2016,12.4,3060,3,1,1,614,126,1970,Moreland,-37.716,144.9666,Northern Metropolitan,5070,,2016
194,Brunswick West,10 Yarrabin St,3,h,810000,S,Brad,11/7/2016,5.9,3055,3,1,2,349,95,1950,Moreland,-37.7589,144.9368,Northern Metropolitan,7082,,2016
195,Hawthorn,466 Auburn Rd,4,h,1800000,SP,Noel,8/22/2016,4.6,3122,3,2,4,601,158,1940,Boroondara,-37.839,145.0418,Southern Metropolitan,11308,,2016
196,Albion,2/62 Selwyn St,3,u,600000,SA,Douglas,5/20/2017,13.9,3020,3,1,1,181,129,2000,Brimbank,-37.7815,144.8128,Western Metropolitan,2185,,2017
197,Roxburgh Park,12 Simmonds Pl,3,h,425000,S,Ray,6/3/2017,20.6,3064,3,2,2,255,141,1996,Hume,-37.63382,144.92774,Northern Metropolitan,5833,,2017
198,Hawthorn,14/59 Riversdale Rd,2,u,450000,PI,Jellis,7/1/2017,5.3,3122,2,1,1,1540,71,1965,Boroondara,-37.82824,145.03137,Southern Metropolitan,11308,,2017
199,Box Hill,32 Margaret St,4,h,1620000,S,hockingstuart,9/3/2016,13.1,3128,4,2,2,697,255,1940,Whitehorse,-37.8151,145.135,Eastern Metropolitan,4605,,2016
200,Fitzroy North,40 Newry St,3,h,1705000,S,Nelson,8/12/2017,3.6,3068,3,1,1,139,116,1900,Yarra,-37.79068,144.97824,Northern Metropolitan,6244,,2017
201,Williamstown,50 Thompson St,4,h,1630000,S,Greg,2/25/2017,8,3016,4,2,2,265,197,2010,Hobsons Bay,-37.8656,144.9039,Western Metropolitan,6380,,2017
202,Glen Iris,8 Hadley Ct,2,h,1723000,S,Jellis,7/26/2016,9.2,3146,2,1,1,553,126,1970,Boroondara,-37.8464,145.0511,Southern Metropolitan,10412,,2016
203,Glen Iris,53 Madeline St,4,h,1920000,S,Marshall,11/27/2016,9.2,3146,4,2,2,706,126,1970,Boroondara,-37.8573,145.0904,Southern Metropolitan,10412,,2016
204,South Melbourne,426 Dorcas St,4,h,1800000,VB,Greg,8/12/2017,1.9,3205,4,3,1,153,93,1900,Port Phillip,-37.83591,144.94963,Southern Metropolitan,5943,,2017
205,Aberfeldie,6/39 St Kinnord St,1,u,310000,S,Brad,7/22/2017,7.5,3040,1,1,1,1715,126,1970,Moonee Valley,-37.75882,144.9027,Western Metropolitan,1543,,2017
206,Sunshine,1/10 Norma St,2,u,425500,SP,Barry,10/15/2016,12.6,3020,2,1,0,153,72,1970,Brimbank,-37.7912,144.8439,Western Metropolitan,3755,,2016
207,Templestowe,7 Clays Ct,4,h,1635000,S,Barry,7/8/2017,15.5,3106,4,3,2,896,215,1985,Manningham,-37.76797,145.13799,Eastern Metropolitan,6202,,2017
208,Northcote,1/54 Emmaline St,1,u,370000,PI,hockingstuart,4/23/2016,5.5,3070,2,1,1,0,126,1970,Darebin,-37.7635,144.9934,Northern Metropolitan,11364,,2016
209,Kensington,17/120 Newman St,3,t,967000,S,Edward,7/1/2017,3.4,3031,3,2,2,0,120,1999,Melbourne,-37.79482,144.92192,Northern Metropolitan,5263,,2017
210,Bentleigh,60A Fromer St,4,t,1280000,S,Buxton,8/12/2017,11.4,3204,4,3,2,306,200,2014,Glen Eira,-37.92893,145.04581,Southern Metropolitan,6795,,2017
211,Carnegie,1/58 Coorigil Rd,2,u,605000,S,Woodards,11/27/2016,11.4,3163,2,1,1,0,70,1973,Glen Eira,-37.8956,145.0613,Southern Metropolitan,7822,,2016
212,Narre Warren,2 Ireland Av,3,h,605000,SP,Only,7/15/2017,34.1,3805,3,2,2,688,121,1990,Casey,-38.037,145.30862,South-Eastern Metropolitan,9376,,2017
213,Coburg North,16 Smith St,3,h,772000,S,Nelson,10/15/2016,9.2,3058,3,1,1,367,126,1970,Moreland,-37.728,144.963,Northern Metropolitan,3445,,2016
214,Murrumbeena,4/19 Rosella St,3,t,860000,SP,Buxton,5/22/2016,12.1,3163,3,2,2,0,126,2013,Glen Eira,-37.8939,145.0715,Southern Metropolitan,4442,,2016
215,West Footscray,6/350 Somerville Rd,2,h,502000,S,Sweeney,5/6/2017,8.2,3012,2,1,1,2701,79,2011,Maribyrnong,-37.8109,144.8684,Western Metropolitan,5058,,2017
216,Clifton Hill,7/37 Groom St,2,u,885500,S,Collins,6/18/2016,3.4,3068,2,2,2,0,136,2005,Yarra,-37.7937,144.9983,Northern Metropolitan,2954,,2016
217,Pascoe Vale,73 Park St,4,h,910000,PI,Brad,11/27/2016,9.9,3044,4,2,0,934,126,1970,Moreland,-37.7232,144.923,Northern Metropolitan,7485,,2016
218,Hoppers Crossing,533 Sayers Rd,4,h,1305000,S,Ray,6/3/2017,18.4,3029,4,2,0,4606,126,1970,Wyndham,-37.84931,144.6942,Western Metropolitan,13830,,2017
219,Mont Albert,47 View St,3,h,1587000,S,Marshall,5/20/2017,11.8,3127,3,2,2,624,126,1970,Whitehorse,-37.8203,145.1105,Eastern Metropolitan,2079,,2017
220,Preston,287 Tyler St,3,h,1650000,S,hockingstuart,12/10/2016,8.8,3072,3,1,2,452,129,1890,Darebin,-37.7307,145.0094,Northern Metropolitan,14577,,2016
221,Brunswick East,89a Hickford St,3,h,1574000,S,Woodards,4/16/2016,4.5,3057,3,3,2,336,207,2007,Moreland,-37.7664,144.9797,Northern Metropolitan,5533,,2016
222,Melton South,24 Blaxland Rd,3,h,300000,S,Reliance,7/29/2017,29.8,3338,3,1,1,585,126,1970,Melton,-37.71195,144.57235,Western Victoria,4718,,2017
223,Airport West,33 North St,3,h,720000,PI,Nelson,2/25/2017,13.5,3042,3,1,1,585,126,1970,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,,2017
224,Essendon,30 Robb St,4,h,1900000,S,Nelson,12/3/2016,8,3040,4,1,2,733,126,1970,Moonee Valley,-37.7587,144.91,Western Metropolitan,9264,,2016
225,Watsonia,18 Temby St,4,h,706000,S,Ray,11/12/2016,14.9,3087,4,1,2,581,126,1970,Banyule,-37.7094,145.0877,Northern Metropolitan,2329,,2016
226,Parkville,66 Fitzgibbon St,2,h,1851000,S,Marshall,8/22/2016,2.6,3052,2,1,1,172,126,1900,Melbourne,-37.7948,144.9571,Northern Metropolitan,2309,,2016
227,Wantirna,6 Priscilla Ct,4,h,1150000,S,Harcourts,8/19/2017,14.7,3152,4,2,2,842,126,1970,,-37.85733,145.22616,Eastern Metropolitan,5424,,2017
228,Seaholme,26 Sussex St,3,h,1360000,S,Sweeney,6/3/2017,11,3018,3,2,6,663,127.8,1970,Hobsons Bay,-37.8642,144.84257,Western Metropolitan,852,,2017
229,Hoppers Crossing,7 Berberis Pl,4,h,540000,S,Barry,8/12/2017,18.4,3029,4,2,2,650,126,1970,Wyndham,-37.85954,144.71456,Western Metropolitan,13830,,2017
230,Burwood,1/54 McIntyre St,4,u,800000,PI,Lindellas,5/28/2016,11.7,3125,4,2,1,0,150,1950,Whitehorse,-37.8507,145.109,Southern Metropolitan,5678,,2016
231,St Kilda,2/79 Barkly St,2,u,700000,S,Whiting,5/28/2016,6.1,3182,2,1,1,0,126,1970,Port Phillip,-37.8626,144.9818,Southern Metropolitan,13240,,2016
232,Brunswick,44 Mitchell St,5,h,1300000,S,Jellis,7/15/2017,5.2,3056,5,2,0,479,126,1970,Moreland,-37.75915,144.96755,Northern Metropolitan,11918,,2017
233,Niddrie,1 Cuthbert St,2,h,800000,S,Frank,9/23/2017,10.4,3042,2,1,2,352,83,1950,,-37.7361,144.88306,Western Metropolitan,2291,,2017
234,Bulleen,2/11 Elizabeth St,4,t,950000,PI,Barry,5/27/2017,10.8,3105,4,2,2,189,126,2011,Manningham,-37.76048,145.08476,Eastern Metropolitan,4480,,2017
235,South Yarra,702/700 Chapel St,1,u,510000,SP,hockingstuart,6/27/2016,3.3,3141,1,1,1,0,126,2000,Stonnington,-37.8361,144.9966,Southern Metropolitan,14887,,2016
236,Glenroy,107 Glenroy Rd,4,h,1000000,PI,Barry,11/27/2016,13,3046,4,2,8,977,304,1935,Moreland,-37.7063,144.9273,Northern Metropolitan,8870,,2016
237,Boronia,10 Weyburn Rd,3,h,706500,SP,iTRAK,6/3/2017,25,3155,3,2,3,723,126,1970,Knox,-37.83883,145.28893,Eastern Metropolitan,9704,,2017
238,Croydon,1 Monteith St,2,h,1080000,S,McGrath,8/12/2017,23,3136,2,1,1,1474,126,1970,Maroondah,-37.79079,145.26924,Eastern Metropolitan,11925,,2017
239,South Kingsville,69 Watt St,3,h,985000,S,Williams,6/12/2016,9.1,3015,3,1,5,669,124,1950,Hobsons Bay,-37.8321,144.8736,Western Metropolitan,984,,2016
240,Cairnlea,10 Japonica Ct,3,h,560000,PI,Bells,8/12/2017,14.8,3023,3,2,1,295,126,1970,Brimbank,-37.75314,144.77878,Western Metropolitan,2674,,2017
241,Camberwell,22 Avenue Rd,2,h,1175000,PI,Jellis,11/27/2016,7.8,3124,2,1,1,246,126,1970,Boroondara,-37.8336,145.0612,Southern Metropolitan,8920,,2016
242,Viewbank,149 Graham Rd,5,h,1316000,SP,Nelson,8/26/2017,8.9,3084,5,3,3,696,126,1970,,-37.73501,145.08341,Eastern Metropolitan,2698,,2017
243,Glenroy,14 Hartington St,3,h,730000,S,Stockdale,5/20/2017,13,3046,3,2,4,563,126,1950,Moreland,-37.702,144.9173,Northern Metropolitan,8870,,2017
244,Hawthorn,14/181 Power St,2,u,525000,PI,Walshe,6/17/2017,5.3,3122,2,1,1,0,126,1970,Boroondara,-37.827,145.02563,Southern Metropolitan,11308,,2017
245,Fawkner,6 Brooks St,3,h,700000,VB,hockingstuart,8/12/2017,13.1,3060,3,1,4,658,126,1970,Moreland,-37.70711,144.97318,Northern Metropolitan,5070,,2017
246,Brunswick East,202b Edward St,3,h,1170000,S,Nelson,10/15/2016,4.5,3057,3,2,0,185,126,1998,Moreland,-37.7755,144.9744,Northern Metropolitan,5533,,2016
247,Brunswick West,17 Cohuna St,2,h,1150000,S,Jellis,7/29/2017,5.2,3055,2,1,1,539,107,1940,Moreland,-37.77279,144.94069,Northern Metropolitan,7082,,2017
248,Chelsea,30 Mulkarra Dr,3,h,840000,S,Ray,6/3/2017,27,3196,3,2,2,534,126,1975,Kingston,-38.04683,145.1261,South-Eastern Metropolitan,3906,,2017
249,Camberwell,13 Smith Rd,3,h,2177000,S,Kay,8/22/2016,7.8,3124,3,1,2,635,130,1920,Boroondara,-37.8454,145.0707,Southern Metropolitan,8920,,2016
250,Hampton,18 Kanowna St,4,h,2130000,S,hockingstuart,7/30/2016,13.7,3188,4,2,2,714,188,1925,Bayside,-37.9446,145.0092,Southern Metropolitan,5454,,2016
251,Essendon,3/82 Glass St,2,u,650000,S,Nelson,9/17/2016,8,3040,2,1,1,156,126,1994,Moonee Valley,-37.746,144.9153,Western Metropolitan,9264,,2016
252,Essendon,11 Waverley St,4,h,1155000,PI,Brad,6/17/2017,7.5,3040,4,1,3,616,170,1900,Moonee Valley,-37.75728,144.90723,Western Metropolitan,9264,,2017
253,Coburg,38 Soudan St,3,h,835000,S,hockingstuart,11/27/2016,7.8,3058,3,1,1,459,126,1970,Moreland,-37.7388,144.9529,Northern Metropolitan,11204,,2016
254,Hadfield,8 Sherwood St,3,h,630000,S,YPA,12/3/2016,12.1,3046,3,1,1,604,112,1970,Moreland,-37.7124,144.9514,Northern Metropolitan,2606,,2016
255,Taylors Lakes,2 Honeyeater Cr,3,h,746000,S,Purplebricks,9/23/2017,15.5,3038,3,2,2,649,126,1970,,-37.69616,144.78587,Western Metropolitan,5336,,2017
256,Heidelberg Heights,15 Outhwaite Rd,4,h,1086000,S,Miles,11/12/2016,10.5,3081,4,2,2,724,161,1960,Banyule,-37.7404,145.0582,Eastern Metropolitan,2947,,2016
257,Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,6/12/2016,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,Northern Metropolitan,2211,,2016
258,Brighton,8/35 Normanby St,2,u,756000,S,Buxton,10/15/2016,11.2,3186,2,1,1,0,80,1920,Bayside,-37.9112,144.9909,Southern Metropolitan,10579,,2016
259,Caulfield North,3/374 Dandenong Rd,2,u,608000,SP,Gary,12/10/2016,8.1,3161,2,1,1,0,126,1970,Glen Eira,-37.8607,145.0112,Southern Metropolitan,6923,,2016
260,Attwood,2 Herod Pl,3,h,640000,SP,YPA,9/9/2017,16.5,3049,3,2,2,607,126,1970,,-37.67379,144.89826,Northern Metropolitan,1130,,2017
261,Doncaster,20 Finlayson St,4,h,1408000,S,Jellis,12/3/2016,13.9,3108,4,2,0,725,126,1970,Manningham,-37.7891,145.1073,Eastern Metropolitan,9028,,2016
262,Heidelberg West,122 Altona St,3,h,846000,S,Ray,9/16/2017,8.8,3081,3,2,2,605,126,1970,,-37.74591,145.04449,Eastern Metropolitan,2674,,2017
263,Preston,5/49 Austral Av,1,u,250000,PI,hockingstuart,7/22/2017,8.4,3072,1,1,1,631,34,1965,Darebin,-37.74495,144.99322,Northern Metropolitan,14577,,2017
264,Seddon,14 James St,3,h,900000,SP,Sweeney,6/17/2017,5.1,3011,3,1,1,252,120,1970,Maribyrnong,-37.80552,144.88889,Western Metropolitan,2417,,2017
265,Brunswick,15 Eveline St,4,h,1630000,VB,Nelson,9/23/2017,5.2,3056,4,2,1,278,174,1880,,-37.77081,144.96318,Northern Metropolitan,11918,,2017
266,Eaglemont,6 Ashby Gr,5,h,1901000,S,Nelson,9/10/2016,10.3,3084,3,2,2,963,225,1925,Banyule,-37.7674,145.0518,Eastern Metropolitan,1651,,2016
267,Moonee Ponds,21A Scotia St,3,h,1055000,S,Nelson,12/3/2016,6.9,3039,3,2,2,0,189,2009,Moonee Valley,-37.7688,144.9054,Western Metropolitan,6232,,2016
268,Brighton East,2/111 Thomas St,3,t,940000,S,hockingstuart,4/16/2016,10.7,3187,3,2,3,0,126,2004,Bayside,-37.9089,145.0246,Southern Metropolitan,6938,,2016
269,Carlton North,271 Canning St,5,h,2450000,S,Woodards,4/29/2017,3.2,3054,5,3,2,268,126,1970,Yarra,-37.7915,144.9737,Northern Metropolitan,3106,,2017
270,Bentleigh,1/26 Harding St,3,t,1100000,SP,Buxton,12/10/2016,13,3204,3,2,2,333,126,1970,Glen Eira,-37.9292,145.0341,Southern Metropolitan,6795,,2016
271,Bentleigh East,34b Lesden St,4,t,1210000,S,hockingstuart,8/6/2016,13.9,3165,3,3,2,291,222,2014,Glen Eira,-37.9347,145.0546,Southern Metropolitan,10969,,2016
272,Meadow Heights,13 Allendale Ct,3,h,520000,S,RW,7/15/2017,17.4,3048,3,1,1,631,111,1960,Hume,-37.66004,144.92338,Northern Metropolitan,4704,,2017
273,Carlton North,903 Rathdowne St,3,h,1840000,PI,Nelson,6/17/2017,3.5,3054,3,1,1,311,126,1970,Yarra,-37.78305,144.97268,Northern Metropolitan,3106,,2017
274,Preston,6 Emerald St,2,h,775000,S,Ray,10/8/2016,8.8,3072,2,1,1,521,126,1970,Darebin,-37.7441,145.0183,Northern Metropolitan,14577,,2016
275,Clayton,25 Panorama St,3,h,1462000,S,C21,6/17/2017,16.7,3168,3,1,1,816,130,1965,Monash,-37.92027,145.12937,South-Eastern Metropolitan,5837,,2017
276,Craigieburn,30 Gateshead St,4,h,505000,S,RW,9/3/2017,20.6,3064,4,2,2,406,126,1970,,-37.57008,144.90388,Northern Metropolitan,15510,,2017
277,Maribyrnong,7 Pridham St,5,h,1151000,S,Biggin,6/27/2016,8.7,3032,5,2,5,694,232,1950,Maribyrnong,-37.7819,144.8901,Western Metropolitan,4918,,2016
278,Surrey Hills,33 Kingston Rd,3,h,1785000,S,Noel,5/27/2017,10.2,3127,3,1,1,516,120,1910,Boroondara,-37.82372,145.09085,Southern Metropolitan,5457,,2017
279,Footscray,32 Commercial Rd,3,h,1155000,S,Burnham,11/7/2016,6.4,3011,3,1,3,585,120,1950,Maribyrnong,-37.7941,144.8924,Western Metropolitan,7570,,2016
280,Carnegie,27 Morgan St,5,h,1900000,PI,Buxton,11/19/2016,11.4,3163,5,3,1,564,126,1930,Glen Eira,-37.8957,145.0487,Southern Metropolitan,7822,,2016
281,Seaford,5 Ireland St,3,h,782500,S,Asset,6/17/2017,35.4,3198,3,2,2,603,126,1970,Frankston,-38.09088,145.12934,South-Eastern Metropolitan,8077,,2017
282,Balwyn North,6 Abassia St,6,h,1505000,S,hockingstuart,5/7/2016,9.2,3104,4,2,2,724,126,1970,Boroondara,-37.8021,145.0985,Southern Metropolitan,7809,,2016
283,Airport West,67 Halsey Rd,3,h,510000,VB,Nelson,4/29/2017,13.5,3042,3,1,1,488,217,1960,Moonee Valley,-37.7191,144.8857,Western Metropolitan,3464,,2017
284,Sandringham,5 Tennyson St,4,t,2221000,S,McGrath,6/3/2017,15.2,3191,4,2,2,381,235,2000,Bayside,-37.95372,145.00608,Southern Metropolitan,4497,,2017
285,Hawthorn,9 Power St,5,h,3750000,PI,Marshall,5/28/2016,4.6,3122,5,3,2,827,344,1920,Boroondara,-37.8144,145.0279,Southern Metropolitan,11308,,2016
286,Southbank,808/8 Kavanagh St,2,u,580000,VB,Whiting,3/18/2017,1.2,3006,2,1,1,0,126,2010,Melbourne,-37.8226,144.9667,Southern Metropolitan,8400,,2017
287,Coburg North,23 Goleen St,3,h,782000,S,Barry,3/11/2017,9.2,3058,3,1,3,576,126,1970,Moreland,-37.7269,144.9654,Northern Metropolitan,3445,,2017
288,Hawthorn,4/178 Power St,2,u,517000,S,Jellis,5/14/2016,4.6,3122,2,1,1,0,126,1970,Boroondara,-37.8261,145.0254,Southern Metropolitan,11308,,2016
289,Ferntree Gully,50 Carlisle Rd,5,h,1100000,S,Schroeder,6/17/2017,24.8,3156,5,3,2,836,789,2001,Knox,-37.8801,145.26011,Eastern Metropolitan,10788,,2017
290,Mont Albert,72 Zetland Rd,4,h,1462000,S,Fletchers,5/27/2017,10.2,3127,4,2,0,420,126,1910,Whitehorse,-37.81788,145.11454,Eastern Metropolitan,2079,,2017
291,Melbourne,709/87 Franklin St,2,u,565000,S,MICM,7/29/2017,0,3000,2,1,0,89,85,2003,Melbourne,-37.80802,144.96168,Northern Metropolitan,17496,,2017
292,Canterbury,55 Warburton Rd,3,h,1385000,S,Jellis,6/18/2016,9,3126,2,1,1,444,126,1910,Boroondara,-37.826,145.0734,Southern Metropolitan,3265,,2016
293,Malvern East,16 Tooronga Rd,3,h,2020000,S,Marshall,5/13/2017,11.2,3145,3,2,2,711,196,1915,Stonnington,-37.8723,145.0387,Southern Metropolitan,8801,,2017
294,Footscray,167 Gordon St,2,h,711000,SP,Jas,6/18/2016,6.4,3011,2,1,2,253,90,1910,Maribyrnong,-37.7968,144.8887,Western Metropolitan,7570,,2016
295,Beaumaris,4 High St,3,h,1750000,SP,Buxton,9/9/2017,17.3,3193,3,2,2,782,126,1970,,-37.99007,145.03588,Southern Metropolitan,5366,,2017
296,Braybrook,13/25 Marnoo St,3,t,441700,SP,Barry,4/22/2017,10.8,3019,3,2,1,145,107,2003,Maribyrnong,-37.7894,144.8463,Western Metropolitan,3589,,2017
